227	267
173	166
226	114
8	233
151	47
183	118
256	263
263	256
81	12
77	75
110	133
27	151
12	160
51	267
137	15
162	144
46	105
10	61
7	274
170	274
195	225
162	286
182	48
44	252
162	66
66	162
11	253
276	234
75	25
202	139
238	272
27	158
74	130
240	116
63	72
222	62
68	195
191	42
12	92
234	126
10	256
81	263
243	206
76	157
41	136
125	24
191	59
47	168
45	27
188	212
176	199
213	6
133	270
262	227
66	128
227	51
50	35
263	199
110	239
221	48
173	196
240	179
101	18
168	47
274	209
216	66
197	88
246	215
75	133
242	247
156	155
192	150
148	142
215	107
241	210
172	117
20	18
216	264
285	284
152	261
185	57
244	114
82	290
61	255
284	257
29	237
119	23
140	170
150	227
110	248
113	80
46	120
184	17
244	69
151	158
262	189
134	126
278	183
124	285
118	178
46	204
76	122
52	47
166	291
21	52
284	45
11	160
272	128
162	163
40	162
190	26
202	138
167	30
207	128
59	191
102	147
125	71
259	62
77	152
140	201
238	96
104	55
36	278
245	162
69	244
163	216
11	2
261	114
19	62
244	88
155	47
258	263
165	222
24	125
246	232
156	284
266	14
12	89
178	124
166	173
202	234
180	211
276	196
19	48
126	151
213	139
120	128
210	66
231	44
65	266
3	200
53	140
222	161
186	106
257	218
151	284
108	84
119	31
69	270
280	272
41	61
155	210
73	228
92	12
118	291
215	42
127	130
80	269
204	112
31	140
60	170
115	172
199	81
148	150
26	190
8	4
4	69
75	104
201	33
110	75
95	106
116	142
90	96
225	284
4	263
225	210
165	290
146	29
66	214
264	214
23	170
99	162
23	274
242	62
15	34
186	141
156	273
243	33
44	3
34	137
254	27
107	186
168	251
213	262
203	170
251	96
110	213
278	267
124	178
148	129
150	267
155	100
234	247
41	263
44	136
191	166
116	117
245	146
67	148
216	35
266	218
140	9
61	38
211	163
104	25
241	148
170	140
241	21
122	121
234	52
27	155
223	151
31	166
257	283
181	251
175	84
53	206
232	132
180	23
148	141
165	176
269	142
208	58
186	272
92	81
42	214
126	47
118	31
246	195
81	92
45	62
102	65
282	33
172	94
21	139
30	167
192	13
45	198
110	25
222	69
105	27
279	120
246	122
119	140
285	137
264	40
227	106
208	108
124	35
162	35
245	112
155	273
266	48
61	136
213	239
9	157
23	7
185	271
197	270
45	259
152	28
114	92
254	259
100	121
67	254
118	166
44	61
227	143
51	16
245	286
278	36
264	50
212	168
140	31
78	96
187	199
283	142
168	37
56	9
141	64
165	152
34	15
57	36
266	65
223	96
51	164
269	283
105	278
226	28
56	33
173	211
274	140
60	7
185	230
245	174
100	243
76	257
116	51
220	254
27	96
181	47
239	3
208	252
1	117
188	162
267	16
71	23
183	278
160	72
35	216
234	35
148	216
66	210
45	216
291	9
155	18
216	45
56	223
155	21
273	21
210	138
183	78
12	63
1	143
233	244
96	151
286	214
17	21
34	169
7	214
166	53
161	90
110	226
4	260
178	189
200	175
269	115
114	88
234	138
74	36
279	129
156	102
96	238
196	230
68	7
210	251
78	238
78	229
215	181
63	38
233	270
162	40
132	94
167	98
241	134
276	195
158	168
259	287
185	29
61	10
120	204
69	79
117	65
267	129
254	1
56	146
16	227
29	170
170	13
134	164
8	290
132	101
254	50
95	227
288	160
234	139
260	112
267	51
92	263
57	121
34	286
141	171
33	157
53	234
140	291
33	243
285	265
264	286
201	9
110	26
41	268
31	274
78	247
216	124
136	176
260	177
118	122
263	53
77	277
63	208
262	143
47	151
114	177
105	251
191	119
121	278
192	14
95	109
134	169
35	50
21	96
76	168
210	162
10	41
19	129
19	204
17	89
213	110
249	33
152	75
61	199
258	217
12	222
44	258
196	211
217	44
56	201
234	202
80	89
19	46
240	94
242	174
191	178
20	9
150	286
206	286
152	4
163	245
117	172
274	201
242	19
35	285
89	160
16	148
208	81
259	254
260	82
21	27
10	103
288	72
49	289
197	193
84	65
17	11
30	58
133	114
103	268
257	265
59	108
101	230
172	115
77	69
240	117
20	201
104	79
184	136
202	225
58	30
261	226
218	51
206	108
269	174
217	199
283	269
127	259
9	291
17	217
31	196
71	146
176	255
72	288
229	267
140	27
27	52
226	88
231	176
122	166
158	238
5	171
161	43
234	27
148	229
219	55
9	140
141	143
7	60
23	232
163	162
167	80
84	192
11	81
161	234
259	280
136	217
77	193
179	31
265	257
231	136
161	263
165	197
263	255
150	78
136	263
44	253
158	126
233	8
242	73
23	166
267	229
14	266
253	217
108	266
231	217
280	37
180	223
141	175
88	114
105	96
178	272
9	31
213	69
213	116
49	12
75	213
260	133
58	167
37	168
20	84
126	78
141	227
35	99
239	226
186	204
265	285
239	26
248	75
28	69
59	31
